document_id,entity_id,document_no,doc_type,status,description,date_modified,modified_by,category,discipline_id,title,rev,reference_link,volume,book,customer_ref,doc_source,parent_discipline_id,type,entity_source,hash,metadata,extracted_at,extractor_version,last_updated_at,updated_by,rfp_id,toc_json
,,16-99-11-0606,document,IFD,,,,,,PROJECT DESIGN BASIS,1,,1,,,sahild Phase 2 feed.xlsx,,BOD,,,,,,,,,
,,T13000073,document,IFD,,,,,,TOPOGRAPHICAL SURVEY REPORT (ACES),1,,1,,,sahild Phase 2 feed.xlsx,,REP,,,,,,,,,
,,16-01-08-0624,drawings,IFD,,,,,,PROCESS FLOW DIAGRAM - WATER TREATMENT AND FUEL GAS - SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PFD,,,,,,,,,
,,16-01-08-0625,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM MULTIPHASE FLOWMETER FT-0604 SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0626,drawings,IFD,,,,,,UTILITY FLOW DIAGRAM - WATER DISPOSAL TANKS VAPOUR RECOVERY COMPRESSOR PACKAGE U-3803 - SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PFD,,,,,,,,,
,,16-01-08-0627,drawings,IFD,,,,,,UTILITY FLOW DIAGRAM (NEW) LP FLARE HEADER - SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PFD,,,,,,,,,
,,16-01-08-0633,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM SCALE INHIBITOR INJECTION PACKAGE SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0636,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM SKIMMER TANK SK-2401 SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0637,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM WATER DISPOSAL TANK T-2402 SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0638,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM WATER DISPOSAL TANK T-2403 SAHIL CDS,2,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0639,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM WATER DISPOSAL PUMPS P-2405/P-2406 SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0640,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM DISPOSAL WATER PUMPS (P-2407/2408),2,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0641,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM WATER DISPOSAL DISTRIBUTION MANIFOLD SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0643,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM RECOVERED OIL COLLECTION TANK V-1102 SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0644,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM NITROGEN DISTRIBUTION HEADER -  SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0645,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM INSTRUMENT & PLANT AIR DISTRIBUTION HEADERS SAHIL CDS,2,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0646,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM NITROGEN & PLANT AIR DISTRIBUTION SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0647,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM NEW CLOSED DRAIN COLLECTION HEADER SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0648,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM LP FLARE HEADER SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
,,16-01-08-0649,drawings,IFD,,,,,,PIPING & INSTRUMENT DIAGRAM VAPOUR RECOVERY COMPRESSOR PACKAGE U-3803 SAHIL CDS,1,,2,,,sahild Phase 2 feed.xlsx,,PID,,,,,,,,,
